Date Scraped,Title,Budget,Skills,Link
2025-06-14 - 16:38:39,implementation of POS TAGGING in  5 different languages by using fine tuning BERT model.,$23,"Python, Natural language processing",https://www.truelancer.com/freelance-project/implementation-of-pos-tagging-in-5-different-languages-by-using-fine-tuning-bert-model-545943
2025-06-14 - 16:38:40,Data Engineer to manage data pipelines and structures. Excel to SQL for example,$57,"Python, sql, MongoDB, Data Engineering",https://www.truelancer.com/freelance-project/data-engineer-to-manage-data-pipelines-and-structures-excel-to-sql-for-example-545761
2025-06-14 - 16:38:53,Freelancer Required having good programming skills,$226,"Software Testing, PHP, Python, .NET Framework",https://www.truelancer.com/freelance-project/freelancer-required-having-good-programming-skills-542493
2025-06-14 - 16:38:53,python script and unit test,$20,Python,https://www.truelancer.com/freelance-project/python-script-and-unit-test-542304
2025-06-14 - 16:38:58,Ad.hoc for a small Norwegian Start up company,$20/ Hr,"HTML, javascript, Python, NodeJS",https://www.truelancer.com/freelance-project/adhoc-for-a-small-norwegian-start-up-company-541616
2025-06-14 - 16:39:00,Through API want live stock market data,$6,"Web Scraping, Python",https://www.truelancer.com/freelance-project/through-api-want-live-stock-market-data-541087
2025-06-14 - 16:39:02,I need data analys it for predection scores of soccer,$100,"Python, Data Processing, Analytics",https://www.truelancer.com/freelance-project/i-need-data-analys-it-for-predection-scores-of-soccer-540646
2025-06-14 - 16:39:03,To write python language programming code for exam booking in an site,$226,Python,https://www.truelancer.com/freelance-project/to-write-python-language-programming-code-for-exam-booking-in-an-site-540444
2025-06-14 - 16:39:08,fix a scrape script for a food review web site,$15,Python,https://www.truelancer.com/freelance-project/fix-a-scrape-script-for-a-food-review-web-site-537942
2025-06-14 - 16:39:08,Data extraction from facebook group posts,$25,"Python, Bash shell scripting",https://www.truelancer.com/freelance-project/data-extraction-from-facebook-group-posts-538805
2025-06-14 - 16:39:08,develope a bot  make my youtube with more subs and likes,$50,"Python, software development",https://www.truelancer.com/freelance-project/develope-a-bot-make-my-youtube-with-more-subs-and-likes-539407
2025-06-14 - 16:39:09,python programming,$34,"Python, Python Numpy",https://www.truelancer.com/freelance-project/python-programming-539175
2025-06-14 - 16:39:11,Im seeking a proficient C programmer who can help me design software for a Kitchen Chimney Applianc,$14/ Hr,"HTML, Website Design, Python, software development",https://www.truelancer.com/freelance-project/im-seeking-a-proficient-c-programmer-who-can-help-me-design-software-for-a-kitchen-chimney-applianc-538953
2025-06-14 - 16:39:14,Computer Vision   Vision Transformer and Semantic Segmentation,$100,"Python, Computer vision, Machine learning",https://www.truelancer.com/freelance-project/computer-vision-vision-transformer-and-semantic-segmentation-538569
2025-06-14 - 16:39:15,Submit eaze like software application,$283,"Windows, Java, Python, Linux",https://www.truelancer.com/freelance-project/submit-eaze-like-software-application-538355
2025-06-14 - 16:39:17,Data Processing Infrastructure Company Documentation and Implementation,$4/ Hr,"Python, Business Strategy, Business Process Modeling, Database Administration",https://www.truelancer.com/freelance-project/data-processing-infrastructure-company-documentation-and-implementation-535669
2025-06-14 - 16:39:18,Streamlit python app expert to develop professional app & deploy live in production ! STREAMLIT ONLY,$1/ Hr,"Website Design, Python, Product Design",https://www.truelancer.com/freelance-project/streamlit-python-app-expert-to-develop-professional-app-deploy-live-in-production-streamlit-only-537725
2025-06-14 - 16:39:18,Football Script Developer Sccore exacte  python,$80,Python,https://www.truelancer.com/freelance-project/football-script-developer-sccore-exacte-python-537570
2025-06-14 - 16:39:21,Screen sharing desktop application,$200,"Windows, javascript, Python, Socket Programming",https://www.truelancer.com/freelance-project/screen-sharing-desktop-application-537289
2025-06-14 - 16:39:24,create a Custom usb boot,$25,"Python, Django",https://www.truelancer.com/freelance-project/create-a-custom-usb-boot-536620
2025-06-14 - 16:39:26,Python programmer to write web scraping program from to download information from a Website,$8/ Hr,"Web Scraping, Python",https://www.truelancer.com/freelance-project/python-programmer-to-write-web-scraping-program-from-to-download-information-from-a-website-536096
2025-06-14 - 16:39:26,ERPNext Custom Notification App,$23,"ERP, Python",https://www.truelancer.com/freelance-project/erpnext-custom-notification-app-536052
2025-06-14 - 16:39:26,Need Hotel Management System Software Developer,$80,"javascript, MySQL, Java, Python",https://www.truelancer.com/freelance-project/need-hotel-management-system-software-developer-536046
2025-06-14 - 16:39:27,GenAI recsys using Azure Python SDK,$57,"Python, Azure",https://www.truelancer.com/freelance-project/genai-recsys-using-azure-python-sdk-535910
2025-06-14 - 16:39:29,Flutter App   Device Manager,$80,"Python, Django",https://www.truelancer.com/freelance-project/flutter-app-device-manager-535439
2025-06-14 - 16:39:30,Web socket using Python and Node Js,$57,"Web Scraping, Python, NodeJS",https://www.truelancer.com/freelance-project/web-socket-using-python-and-node-js-535283
2025-06-14 - 16:39:33,script assessment work,$17/ Hr,Python,https://www.truelancer.com/freelance-project/script-assessment-work-534614
2025-06-14 - 16:39:35,Development of a Matrimonial Website,$452,"HTML, Python, C++ Programming, ReactJS",https://www.truelancer.com/freelance-project/development-of-a-matrimonial-website-534198
2025-06-14 - 16:39:36,I want to develop a tool that takes multiple inputs and then generates an output result expected re,$200,Python,https://www.truelancer.com/freelance-project/i-want-to-develop-a-tool-that-takes-multiple-inputs-and-then-generates-an-output-result-expected-re-534065
2025-06-14 - 16:39:41,Need a working script to get the discounted products and it should post to my messenger channel,$6,"Web Scraping, Python",https://www.truelancer.com/freelance-project/need-a-working-script-to-get-the-discounted-products-and-it-should-post-to-my-messenger-channel-533043
2025-06-14 - 16:39:43,Expert Needed for Precision Landing on Drone Using Camera and Raspberry Pi,$226,"Python, C++ Programming, Drones, Image Processing",https://www.truelancer.com/freelance-project/expert-needed-for-precision-landing-on-drone-using-camera-and-raspberry-pi-532837
2025-06-14 - 16:39:44,Convert video into shorts   Desktop software,$20,Python,https://www.truelancer.com/freelance-project/convert-video-into-shorts-desktop-software-532741
2025-06-14 - 16:39:47,Convert video into shorts,$20,Python,https://www.truelancer.com/freelance-project/convert-video-into-shorts-531701
2025-06-14 - 16:39:48,Design modification of an existing project,$17,"Python, Django, Microsoft SQL Server",https://www.truelancer.com/freelance-project/design-modification-of-an-existing-project-531673
2025-06-14 - 16:39:49,I need Python Developer,$113,"Web Scraping, Python",https://www.truelancer.com/freelance-project/i-need-python-developer-531367
2025-06-14 - 16:39:51,"Bypass bot protection to make login and purchase requests not browser based. Csrf, turnstile, cf v2",$100,"Web Scraping, Python, NodeJS",https://www.truelancer.com/freelance-project/bypass-bot-protection-to-make-login-and-purchase-requests-not-browser-based-csrf-turnstile-cf-v2-530452
2025-06-14 - 16:39:51,Replace audio in the video with made available presets   AI project with python,$50,"javascript, Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/replace-audio-in-the-video-with-made-available-presets-ai-project-with-python-530889
2025-06-14 - 16:39:52,Need Python developer for AutomationPython Task,$170,"Python, Automation",https://www.truelancer.com/freelance-project/need-python-developer-for-automationpython-task-530717
2025-06-14 - 16:39:52,Python Script to Scrape Images,$3/ Hr,"Web Scraping, MySQL, Python",https://www.truelancer.com/freelance-project/python-script-to-scrape-images-530637
2025-06-14 - 16:39:56,I need a automatic train ticket booking system,$226,"Web Scraping, AngularJS, jquery, Python",https://www.truelancer.com/freelance-project/i-need-a-automatic-train-ticket-booking-system-529979
2025-06-14 - 16:39:56,AI Scripting Framework,$10,"Python, Artificial Intelligence, Internet research",https://www.truelancer.com/freelance-project/ai-scripting-framework-529931
2025-06-14 - 16:40:00,Implement github repository / application for youtube live stream monitoring,$57,"Python, GitHub",https://www.truelancer.com/freelance-project/implement-github-repository-application-for-youtube-live-stream-monitoring-529264
2025-06-14 - 16:40:00,Software / Program to track specific objects on streaming YouTube video in real time,$85,"YouTube, javascript, Python, software development",https://www.truelancer.com/freelance-project/software-program-to-track-specific-objects-on-streaming-youtube-video-in-real-time-529258
2025-06-14 - 16:40:03,network Bandwidth & fault prediction based on AI with a web GUI on DAsh,$57,"Python, Artificial Intelligence, Machine learning",https://www.truelancer.com/freelance-project/network-bandwidth-fault-prediction-based-on-ai-with-a-web-gui-on-dash-528541
2025-06-14 - 16:40:04,Sports Data Analyst for Football Predictions,$100,"Python, C++ Programming, VBNET",https://www.truelancer.com/freelance-project/sports-data-analyst-for-football-predictions-528491
2025-06-14 - 16:40:04,Teaching Data Science,$70,"Python, Chinese",https://www.truelancer.com/freelance-project/teaching-data-science-528393
2025-06-14 - 16:40:04,Need a Freelance Programmer to develop a mini package for Stores Receipt Issue WIP FG Stock Live,$226,"Python, Excel, Data Processing",https://www.truelancer.com/freelance-project/need-a-freelance-programmer-to-develop-a-mini-package-for-stores-receipt-issue-wip-fg-stock-live-527835
2025-06-14 - 16:40:07,BOT or Software that works on a site that is not mine,$1000,"HTML, javascript, Python, Software Architecture",https://www.truelancer.com/freelance-project/bot-or-software-that-works-on-a-site-that-is-not-mine-516028
2025-06-14 - 16:40:08,Proof of Concept for Parsing Recipes from PDF to JSON,$10,Python,https://www.truelancer.com/freelance-project/proof-of-concept-for-parsing-recipes-from-pdf-to-json-527321
2025-06-14 - 16:40:09,Full Stack development for a web based SaaS application based on MERN Stack,$452,"Python, MongoDB, NodeJS, ExpressJS",https://www.truelancer.com/freelance-project/full-stack-development-for-a-web-based-saas-application-based-on-mern-stack-527292
2025-06-14 - 16:40:09,I need the python code development for algo trading,$34,Python,https://www.truelancer.com/freelance-project/i-need-the-python-code-development-for-algo-trading-526666
2025-06-14 - 16:40:11,AI Generation of Click Sequences,$25,Python,https://www.truelancer.com/freelance-project/ai-generation-of-click-sequences-526966
2025-06-14 - 16:40:11,Python Developer for PDF Scraping and Data Conversion,$34,"Web Scraping, Python, Data scraping",https://www.truelancer.com/freelance-project/python-developer-for-pdf-scraping-and-data-conversion-526937
2025-06-14 - 16:40:13,"Discord, Facebook o twitter mass dm",$300,Python,https://www.truelancer.com/freelance-project/discord-facebook-o-twitter-mass-dm-526684
2025-06-14 - 16:40:18,Evaluating urban vitality /vibrancy using geo big data,$15,Python,https://www.truelancer.com/freelance-project/evaluating-urban-vitality-vibrancy-using-geo-big-data-525843
2025-06-14 - 16:40:18,Evaluating urban vitality /vibrancy using geo big data,$15,Python,https://www.truelancer.com/freelance-project/evaluating-urban-vitality-vibrancy-using-geo-big-data-525841
2025-06-14 - 16:40:19,Datascience expert in r and python,$3/ Hr,Python,https://www.truelancer.com/freelance-project/datascience-expert-in-r-and-python-525616
2025-06-14 - 16:40:23,High Quality Professional Annual Report Template Design + Python,$1/ Hr,"Brochure Design, Logo Design, Python, Adobe PDF",https://www.truelancer.com/freelance-project/high-quality-professional-annual-report-template-design-python-525168
2025-06-14 - 16:40:23,Complete Prompts Set Equivalent of https://founderpal.ai/marketing strategy generator,$20,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/complete-prompts-set-equivalent-of-httpsfounderpalaimarketing-strategy-generator-525010
2025-06-14 - 16:40:25,Facial Detection and video Analytic,$6,"Python, Artificial Neural Networks, Flask, Machine learning",https://www.truelancer.com/freelance-project/facial-detection-and-video-analytic-524427
2025-06-14 - 16:40:27,Mindmap creator   Can be done in php OR  python,$20,"PHP, Python",https://www.truelancer.com/freelance-project/mindmap-creator-can-be-done-in-php-or-python-523977
2025-06-14 - 16:40:28,AI Voice Cleaner & Remove Background Noise,$150,Python,https://www.truelancer.com/freelance-project/ai-voice-cleaner-remove-background-noise-523844
2025-06-14 - 16:40:31,Trading Bot Development,$57,"Python, Automation",https://www.truelancer.com/freelance-project/trading-bot-development-523425
2025-06-14 - 16:40:33,Front end and back end product development on azure,$226,"Python, Advanced Business Application Programming ABAP, SaaS, Azure",https://www.truelancer.com/freelance-project/front-end-and-back-end-product-development-on-azure-515421
2025-06-14 - 16:40:33,Python Programming Guru to resolve a defect in existing application Must be immediately available,$10,Python,https://www.truelancer.com/freelance-project/python-programming-guru-to-resolve-a-defect-in-existing-application-must-be-immediately-available-523039
2025-06-14 - 16:40:34,I need Amazon Flex Account Reactivation,$150,"Python, sql",https://www.truelancer.com/freelance-project/i-need-amazon-flex-account-reactivation-522965
2025-06-14 - 16:40:34,Python Data Faker for MySQL 2,$10,Python,https://www.truelancer.com/freelance-project/python-data-faker-for-mysql-2-522865
2025-06-14 - 16:40:34,AI Voice Cleaner & Remove Background Noise,$150,Python,https://www.truelancer.com/freelance-project/ai-voice-cleaner-remove-background-noise-522810
2025-06-14 - 16:40:35,Python Programming Guru to resolve a defect in existing application,$10,Python,https://www.truelancer.com/freelance-project/python-programming-guru-to-resolve-a-defect-in-existing-application-522698
2025-06-14 - 16:40:37,ArcGIS Online webapp and dashboard development,$6/ Hr,"Python, ArcGIS",https://www.truelancer.com/freelance-project/arcgis-online-webapp-and-dashboard-development-522346
2025-06-14 - 16:40:38,Need a Senior Data Engineer,$1130,"Python, DevOps, SQL Azure, Azure",https://www.truelancer.com/freelance-project/need-a-senior-data-engineer-522203
2025-06-14 - 16:40:38,Text to Music web based site Python,$100,Python,https://www.truelancer.com/freelance-project/text-to-music-web-based-site-python-522082
2025-06-14 - 16:40:38,Text to Music web based site Python,$100,Python,https://www.truelancer.com/freelance-project/text-to-music-web-based-site-python-518040
2025-06-14 - 16:40:39,Immediately required Senior Python dev to install a github repo,$10,Python,https://www.truelancer.com/freelance-project/immediately-required-senior-python-dev-to-install-a-github-repo-522025
2025-06-14 - 16:40:40,Python for Tests on Tasks in Project Management System to Automated Testing,$50,Python,https://www.truelancer.com/freelance-project/python-for-tests-on-tasks-in-project-management-system-to-automated-testing-521867
2025-06-14 - 16:40:40,We are looking to hire a freelancer for the creation of a database and designing the interface for,$57,"MySQL, Python",https://www.truelancer.com/freelance-project/we-are-looking-to-hire-a-freelancer-for-the-creation-of-a-database-and-designing-the-interface-for-521369
2025-06-14 - 16:40:41,Python script for stock market,$6,Python,https://www.truelancer.com/freelance-project/python-script-for-stock-market-521544
2025-06-14 - 16:40:41,Python script generating text files from data in excel,$10,Python,https://www.truelancer.com/freelance-project/python-script-generating-text-files-from-data-in-excel-521382
2025-06-14 - 16:40:43,"Machine Learning ,Artificial Intellligence",$283,"Python, Artificial Intelligence, Machine learning, Google Cloud Platform",https://www.truelancer.com/freelance-project/machine-learning-artificial-intellligence-521240
2025-06-14 - 16:40:43,Build Microservices using Python and Kubernetes,$6/ Hr,"Python, API Development, Microservice, Kubernetes",https://www.truelancer.com/freelance-project/build-microservices-using-python-and-kubernetes-521221
2025-06-14 - 16:40:45,Looking for a software testing trainer/faculty to teach manual and automation testing,$226,"Software Testing, Java, Python, Teaching",https://www.truelancer.com/freelance-project/looking-for-a-software-testing-trainerfaculty-to-teach-manual-and-automation-testing-520644
2025-06-14 - 16:40:47,Python Expert to install existing code and make changes to interface,$10,Python,https://www.truelancer.com/freelance-project/python-expert-to-install-existing-code-and-make-changes-to-interface-520083
2025-06-14 - 16:40:54,Medical image classification,$113,Python,https://www.truelancer.com/freelance-project/medical-image-classification-519085
2025-06-14 - 16:40:56,Scraping script in python to scrape records from crm,$3/ Hr,"Web Scraping, Python",https://www.truelancer.com/freelance-project/scraping-script-in-python-to-scrape-records-from-crm-518644
2025-06-14 - 16:40:58,Malware finder and remover web application,$565,"AngularJS, Python, Artificial Intelligence, Machine learning",https://www.truelancer.com/freelance-project/malware-finder-and-remover-web-application-517942
2025-06-14 - 16:40:58,Need a custom Website.,$1000,"javascript, Java, Python, Data Science",https://www.truelancer.com/freelance-project/need-a-custom-website-517837
2025-06-14 - 16:41:00,You Need a custom Website.,$7,"HTML5, AngularJS, Python, NodeJS",https://www.truelancer.com/freelance-project/you-need-a-custom-website-517549
2025-06-14 - 16:41:00,We are seeking a skilled and motivated full Time Tech Developer to manage our EdTech platform.,$339,"javascript, Wordpress, Java, Python",https://www.truelancer.com/freelance-project/we-are-seeking-a-skilled-and-motivated-full-time-tech-developer-to-manage-our-edtech-platform-517484
2025-06-14 - 16:41:00,I need a Python Developer to create ALGOS for trading in Indian Stock Markets,$28,"Java, Python, C++ Programming",https://www.truelancer.com/freelance-project/i-need-a-python-developer-to-create-algos-for-trading-in-indian-stock-markets-517462
2025-06-14 - 16:41:06,Automated YouTube compilation channel,$1130,Python,https://www.truelancer.com/freelance-project/automated-youtube-compilation-channel-516658
2025-06-14 - 16:41:09,Udemy Course Creater,$565,"javascript, Java, Python, Core Java",https://www.truelancer.com/freelance-project/udemy-course-creater-516093
2025-06-14 - 16:41:09,Looking an odoo certified!,$10/ Hr,"HTML5, CSS, Python, Odoo",https://www.truelancer.com/freelance-project/looking-an-odoo-certified-516045
2025-06-14 - 16:41:15,Need an Deep learning module on smart gardening,$11,"Python, Machine learning",https://www.truelancer.com/freelance-project/need-an-deep-learning-module-on-smart-gardening-514931
2025-06-14 - 16:41:15,Need mathematical programming support,$2/ Hr,"Python, Mathematics",https://www.truelancer.com/freelance-project/need-mathematical-programming-support-514038
2025-06-14 - 16:41:16,Data Science R and Python Expert tutor,$3/ Hr,"Python, Data Science",https://www.truelancer.com/freelance-project/data-science-r-and-python-expert-tutor-514835
2025-06-14 - 16:41:20,MT4 EA making to gather data from MT4 and send to website.,$28,"PHP, Python, C++ Programming, MetaTrader 4 MT4",https://www.truelancer.com/freelance-project/mt4-ea-making-to-gather-data-from-mt4-and-send-to-website-514076
2025-06-14 - 16:41:21,"Develop AI data models for predictive analysis, leveraging machine learning algorithms for DSS.",$283,"Python, Blockchain",https://www.truelancer.com/freelance-project/develop-ai-data-models-for-predictive-analysis-leveraging-machine-learning-algorithms-for-dss-513826
2025-06-14 - 16:41:21,"build a system that uses standard implementations of cryptography, demonstrating correct",$50,Python,https://www.truelancer.com/freelance-project/build-a-system-that-uses-standard-implementations-of-cryptography-demonstrating-correct-513104
2025-06-14 - 16:41:21,Looking for hacker,$1/ Hr,"PHP, Python, Instagram API",https://www.truelancer.com/freelance-project/looking-for-hacker-513831
2025-06-14 - 16:41:22,Seeking Web Scraping Expert for Data Extraction Project ,$11,"Web Scraping, Python",https://www.truelancer.com/freelance-project/seeking-web-scraping-expert-for-data-extraction-project-513799
2025-06-14 - 16:41:27,python developer to start script,$10,Python,https://www.truelancer.com/freelance-project/python-developer-to-start-script-513063
2025-06-14 - 16:41:30,web scrapping using python,$23,Python,https://www.truelancer.com/freelance-project/web-scrapping-using-python-512724
2025-06-14 - 16:41:30,I need somebody to write a Python Program for me.,$6,Python,https://www.truelancer.com/freelance-project/i-need-somebody-to-write-a-python-program-for-me-512561
2025-06-14 - 16:41:30,Python Scrapping expert to review files and make it work,$3/ Hr,"Web Scraping, Python",https://www.truelancer.com/freelance-project/python-scrapping-expert-to-review-files-and-make-it-work-512552
2025-06-14 - 16:41:38,I need a chrome extension with admin panal,$40,"PHP, javascript, Python, Chrome Extension",https://www.truelancer.com/freelance-project/i-need-a-chrome-extension-with-admin-panal-511105
2025-06-14 - 16:41:40,Quiz: Interchanging Positions and Validating X Marks,$20,"Python, Excel VBA, Google Spreadsheets, Microsoft Excel",https://www.truelancer.com/freelance-project/quiz-interchanging-positions-and-validating-x-marks-510814
2025-06-14 - 16:41:41,Need a skilled Indian Python Developer.,$10,"Python, Video Script",https://www.truelancer.com/freelance-project/need-a-skilled-indian-python-developer-510722
2025-06-14 - 16:41:41,I need skilled Indian Developer who has rich experience with Python.,$10,"Python, Video Script",https://www.truelancer.com/freelance-project/i-need-skilled-indian-developer-who-has-rich-experience-with-python-510721
2025-06-14 - 16:41:49,Website redesign of Django Framework,$7/ Hr,"Python, Django",https://www.truelancer.com/freelance-project/website-redesign-of-django-framework-509429
2025-06-14 - 16:41:52,Web App Development,$120,"HTML, HTML5, Python, Django",https://www.truelancer.com/freelance-project/web-app-development-508853
2025-06-14 - 16:41:52,I need training and support on automation testing using python From HYDERABAD only!,$3/ Hr,"Python, Automated Testing",https://www.truelancer.com/freelance-project/i-need-training-and-support-on-automation-testing-using-python-from-hyderabad-only-508494
2025-06-14 - 16:41:55,full stack web developer python django,$5/ Hr,"HTML, javascript, AngularJS, Python",https://www.truelancer.com/freelance-project/full-stack-web-developer-python-django-507820
2025-06-14 - 16:41:56,Program for browsing and summarising news article for multiple links,$113,"Web Scraping, PHP, Python",https://www.truelancer.com/freelance-project/program-for-browsing-and-summarising-news-article-for-multiple-links-507819
2025-06-14 - 16:41:56,"I need a program that can scrap internet for news articles, summarise them and give output",$226,"Web Scraping, PHP, javascript, Python",https://www.truelancer.com/freelance-project/i-need-a-program-that-can-scrap-internet-for-news-articles-summarise-them-and-give-output-507817
2025-06-14 - 16:41:57,I need a python developer that to make changes/fixes in the code written in python for my project,$57,Python,https://www.truelancer.com/freelance-project/i-need-a-python-developer-that-to-make-changesfixes-in-the-code-written-in-python-for-my-project-507626
2025-06-14 - 16:42:00,Required Python Django developer for an App,$6/ Hr,"MySQL, Python, Django",https://www.truelancer.com/freelance-project/required-python-django-developer-for-an-app-506901
2025-06-14 - 16:42:00,Python automation with sql and optimisation,$17,"MySQL, Python",https://www.truelancer.com/freelance-project/python-automation-with-sql-and-optimisation-506522
2025-06-14 - 16:42:04,Mobile app with client server model  database and app server,$6/ Hr,"javascript, Mobile App, Python",https://www.truelancer.com/freelance-project/mobile-app-with-client-server-model-database-and-app-server-446444
2025-06-14 - 16:42:17,odoo Customized reporting,$1500,"Python, Financial Reporting, Odoo",https://www.truelancer.com/freelance-project/odoo-customized-reporting-503475
2025-06-14 - 16:42:18,Python developer for python job.,$3/ Hr,Python,https://www.truelancer.com/freelance-project/python-developer-for-python-job-503312
2025-06-14 - 16:42:18,"Python game bot, template matching",$10,Python,https://www.truelancer.com/freelance-project/python-game-bot-template-matching-503234
2025-06-14 - 16:42:20,SAAS Recruitment Portal for Recruitment Agency,$113,"PHP, Python, software development, C Programming",https://www.truelancer.com/freelance-project/saas-recruitment-portal-for-recruitment-agency-502839
2025-06-14 - 16:42:26,Necesito a alguien para un proyecto sobre inteligencia artificial. más detalles al privado,$80,"HTML, Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/necesito-a-alguien-para-un-proyecto-sobre-inteligencia-artificial-mas-detalles-al-privado-501365
2025-06-14 - 16:42:26,Python code to extract spo2 from every pixel in a frame,$4/ Hr,"Python, Digital Signal Processing, Image Processing",https://www.truelancer.com/freelance-project/python-code-to-extract-spo2-from-every-pixel-in-a-frame-501287
2025-06-14 - 16:42:28,Modify Computer Vision method according to paper,$113,"Python, Artificial Neural Networks, Computer vision",https://www.truelancer.com/freelance-project/modify-computer-vision-method-according-to-paper-500948
2025-06-14 - 16:42:32,Testing a Lightweight Block Cipher any simulation tools should be fine. LabVIEW or Matlab,$150,"Python, Matlab, Cryptography",https://www.truelancer.com/freelance-project/testing-a-lightweight-block-cipher-any-simulation-tools-should-be-fine-labview-or-matlab-500141
2025-06-14 - 16:42:38,Automation Bot for Tiktok,$200,"Python, NodeJS",https://www.truelancer.com/freelance-project/automation-bot-for-tiktok-498839
2025-06-14 - 16:42:40,Looking for bot to increase youtube views,$23,"YouTube, Python",https://www.truelancer.com/freelance-project/looking-for-bot-to-increase-youtube-views-498502
2025-06-14 - 16:42:41,Add features to a code submission system,$34,"HTML, javascript, CSS, Python",https://www.truelancer.com/freelance-project/add-features-to-a-code-submission-system-498435
2025-06-14 - 16:42:41,introduction to algorithms EXAM HELP,$30/ Hr,"Java, Python, Algorithm, Algorithm Development",https://www.truelancer.com/freelance-project/introduction-to-algorithms-exam-help-498388
2025-06-14 - 16:42:46,Quantization of open source LLM and Finetuning it for Text Summarization and Q&A ChatBot,$791,"Python, Artificial Intelligence, Natural language processing",https://www.truelancer.com/freelance-project/quantization-of-open-source-llm-and-finetuning-it-for-text-summarization-and-qa-chatbot-497224
2025-06-14 - 16:42:46,Backend Developer FastAPI,$5/ Hr,"Python, Docker, Jenkins",https://www.truelancer.com/freelance-project/backend-developer-fastapi-497168
2025-06-14 - 16:42:47,DevOps for an Odoo community project on GCP,$12/ Hr,"MySQL, jquery, CSS, Python",https://www.truelancer.com/freelance-project/devops-for-an-odoo-community-project-on-gcp-497105
2025-06-14 - 16:42:49,Need a Freelance Blender expert and also worked with python libraries for real time rendering,$565,"Python, Animation, 3D Animation, 3D Rendering",https://www.truelancer.com/freelance-project/need-a-freelance-blender-expert-and-also-worked-with-python-libraries-for-real-time-rendering-496701
2025-06-14 - 16:42:51,ERPNext Set up and customization,$57,"ERP, Python",https://www.truelancer.com/freelance-project/erpnext-set-up-and-customization-496247
2025-06-14 - 16:42:52,Backend Developer FastAPI,$5/ Hr,"Python, Docker, Jenkins",https://www.truelancer.com/freelance-project/backend-developer-fastapi-496141
2025-06-14 - 16:42:53,Need a data entry web site using Django Rest Framework,$30,"Python, Django, ReactJS",https://www.truelancer.com/freelance-project/need-a-data-entry-web-site-using-django-rest-framework-495937
2025-06-14 - 16:42:54,"python algo that places trades in crypto binance exchange, also backtest algo for past 2yr btc data",$11,Python,https://www.truelancer.com/freelance-project/python-algo-that-places-trades-in-crypto-binance-exchange-also-backtest-algo-for-past-2yr-btc-data-495660
2025-06-14 - 16:43:28,We need a code submission system,$28,"HTML, javascript, CSS, Python",https://www.truelancer.com/freelance-project/we-need-a-code-submission-system-494997
